name,nameCountry,longitud,latitud
Castleknock,Ireland,-9.0248232,53.2760162
Shangmachang,China,127.3305,50.367353
Cuntan,China,106.572803,29.605367
Dalarik,Armenia,43.8717749,40.2272711
Artybash,Russia,87.2508267,51.791159
Stráž nad Nisou,Czech Republic,15.0266516,50.7911439
Zhaowu,China,103.694265,36.1093631
Raffingora,Zimbabwe,30.4386437,-17.0363653
Ardino,Bulgaria,25.9294198,43.8047536
Shaogongzhuang,China,117.155313,39.154261
Guji,China,107.253334,26.443249
Zākhū,Iraq,42.6726771,37.1504622
Walnut Grove,Canada,-122.6562872,49.2165148
Yuanba,China,105.96282,32.323256
Yuelai,China,106.53519,29.72277
Usol’ye,Russia,56.6803807,59.4254685
Carpentras,France,5.0852479,44.0264621
Zielona Góra,Poland,15.4768834,51.9210929
Jardim,Brazil,-56.1494143,-21.4803962
Ágios Spyrídon,Greece,22.4387178,40.2074194
Chilmāri,Bangladesh,89.6616352,25.5810414
Ciénaga,Colombia,-73.9830029,10.8698035
Mascote,Brazil,-39.4450281,-15.6969314
Viline,Ukraine,33.6744583,44.8464736
Chetian,China,113.8853373,22.5805725
Long Xuyên,Vietnam,105.4185406,10.3759416
Jiangdong,China,121.570383,29.866818
Xixia,China,111.482591,33.298364
Stockholm,Sweden,-68.1435046,47.0203207
Sigaozhuang,China,117.26062,39.472976
Langenburg,Canada,-101.71763,50.84999
Hohhot,China,111.749995,40.842356
Laojiangjunjie,China,102.71159,24.67964
Lukovica pri Domžalah,Slovenia,14.6907259,46.1696293
Caucete,Argentina,-64.1266198,-31.4393481
Moosomin,Canada,-101.66766,50.13332
Hobo,Philippines,123.1804731,13.5085076
Uritsk,Russia,30.1775921,59.82941
Zhengcun,China,114.532957,28.955847
Yongxing,China,113.116527,26.12715
Putrajaya,Malaysia,101.6821575,2.9175611
Konstantinovo,Russia,38.0335558,56.5523691
Nanyuan,China,116.3877778,39.7825
Karangbadar Kidul,Indonesia,109.03083,-7.70556
Brandfort,South Africa,26.4577466,-28.6903818
Yunlong,China,117.251076,34.253164
Youxi Chengguanzhen,China,118.188043,26.168922
Rogoźnik,Poland,19.9504449,49.444308
Conde,Brazil,-34.8403408,-7.2893545
Rybinsk,Russia,38.6043668,58.0312993
Natonin,Philippines,121.287152,17.125337
Oruro,Bolivia,-67.1060353,-17.9646772
Vélizy-Villacoublay,France,2.2161608,48.7724625
La Hacienda,Philippines,124.3882585,9.8827617
St. Anton an der Jeßnitz,Austria,15.2299747,48.0147763
Paatan,Philippines,124.848271,7.0773723
Örbyhus,Sweden,17.6375865,60.1386576
Fifi,Morocco,-5.24798,34.94873
Bayt Ta‘mar,Palestinian Territory,35.241822,31.678719
Omsk,Russia,73.2498639,55.0614182
Badaogu,China,117.345479,39.480497
Madur,Indonesia,113.287085,-7.0777326
Sayang Lauq,Indonesia,116.1325,-8.5694
Toubao,China,115.474295,40.256729
Fāqūs,Egypt,31.7977797,30.7292723
Partizansk,Russia,132.8303672,43.3433802
Kidodi,Tanzania,35.9166669,-7.916667
Bridel,Luxembourg,6.0872124,49.6638448
Nuradilovo,Russia,46.4531554,43.2837871
Denver,United States,-104.9739333,39.9311729
Bragança Paulista,Brazil,-46.5423239,-22.9531705
Kwaluseni,Swaziland,31.3484448,-26.4820262
Mibu,Japan,132.5509347,34.6796489
Puncakwangi,Indonesia,107.0716609,-7.2953035
Xiajiashan,China,104.747254,29.677333
Paris 06,France,5.8978018,43.4945737
La Cumbre,Colombia,-76.567956,3.649442
Condado,Brazil,-35.1048713,-7.5944434
Cabanilla,Peru,-70.3494605,-15.6412156
Sindangrasa,Indonesia,106.8370122,-6.6359299
Sukamaju,Indonesia,106.8502879,-6.4185424
Huozhuangzi,China,117.32162,39.293263
Kilifarevo,Bulgaria,25.6162991,42.9856238
Wawu,China,112.461956,26.974959
Dawa-Dawa,Philippines,122.8564594,7.5038886
Shaoha,China,109.77792,29.013167
Gaocheng,China,114.847075,38.021567
Slavs’ke,Ukraine,23.4472258,48.834578
Qiaozhen,China,107.148314,34.477513
Łubnice,Poland,18.2903712,51.1644956
Magan,Russia,129.517113,62.107429
Mata de São João,Brazil,-38.3001614,-12.5327517
Río Ceballos,Argentina,-65.0052144,-31.7436794
Hong Kong,Hong Kong,114.109497,22.396428
Patrocínio,Brazil,-47.058302,-18.998706
Mensalong,Indonesia,116.750397,3.756455
Estrela,Brazil,-51.9640632,-29.501873
Tomay Kichwa,Peru,-76.21194,-10.07722
Moulay Bouchta,Morocco,-5.1262689,34.4912621
Hexing,China,106.8311173,-6.2140375
Mosjøen,Norway,13.2106011,65.8375549
Sofia,Bulgaria,23.3245641,42.6978209
Santo Domingo Este,Dominican Republic,-69.8639751,18.4895862
Boende,Democratic Republic of the Congo,20.8850949,-0.2842862
Donggaocun,China,117.116756,40.104785
Xiaping,China,117.562238,27.568278
Zhangcun,China,125.323544,43.817071
Le Mans,France,0.1924459,47.9956173
Chicago,United States,-87.6087638,41.7458012
San Vicente,Philippines,121.0589081,14.7596318
Kajatian,Philippines,120.953061,5.990033
Dublje,Serbia,19.5121851,44.774428
Guifões,Portugal,-8.6725287,41.2007787
Candelária,Brazil,-52.8312661,-29.7132471
Tarbagatay,Russia,85.6264576,44.3338201
København,Denmark,12.5786568,55.6828987
Trinidad,Peru,-79.033333,-7.35
Bama,Nigeria,13.6883765,11.5218308
Marale,Honduras,-87.1711922,14.8921247
Santa Cruz de Barahona,Dominican Republic,-71.0924706,18.2051988
Chornyanka,Ukraine,33.3646929,46.6522568
